list,order,item,audio,condition,prime,prime_1,noun_repetition,prime_description,target_description,display_1,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,filler_prime_category,filler_target_category,target_object,distractor5_sameNoun_differentColor_differentPatternFromTarget,non_repeated_prime,distractor1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,repeated_prime,targetPosition,distractor5,nonRepeatedPrime,distractor1,distractor2,distractor3,distractor4,repeatedPrime,expTrials,box_position,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
4,58,f41,f41.mp3,9,9,9,non-repeated,The small spanner,cat,9,,spanner,,,spanner,,,noun category,noun category,catBlueRight,,,,,,,,,,,,,,,,N,3,6,3,ratGreySmallRight.png,spannerBlueLargeRight.png,catBlueRight.png,ratGreyLargeRight.png,ratGreyLargeRight.png,spannerBlueSmallRight.png,ratGreySmallLeft.png,butterflyBlueLarge.png
1,59,25,25_PC_non.mp3,2,PC,0,non-repeated,The striped red envelope,blue spotted suitcase,0,suitcase_blue_spotted,suitcase,blue,spotted,envelope,red,striped,,,suitcase_blue_spotted,suitcase_red_striped,envelope_red_striped,suitcase_blue_striped,suitcase_red_spotted,envelope_blue_spotted,envelope_blue_striped,envelope_red_spotted,4,7,5,2,8,3,1,6,Y,4,5,4,envelope_blue_striped.png,suitcase_blue_striped.png,envelope_blue_spotted.png,suitcase_blue_spotted.png,envelope_red_striped.png,envelope_red_spotted.png,suitcase_red_striped.png,suitcase_red_spotted.png
2,59,25,25_PC_rep.mp3,4,PC,0,repeated,The spotted red envelope,blue spotted suitcase,1,suitcase_blue_spotted,suitcase,blue,spotted,envelope,red,striped,,,suitcase_blue_spotted,suitcase_red_striped,envelope_red_striped,suitcase_blue_striped,suitcase_red_spotted,envelope_blue_spotted,envelope_blue_striped,envelope_red_spotted,4,7,5,2,8,3,1,6,Y,4,6,4,envelope_blue_striped.png,suitcase_blue_striped.png,envelope_blue_spotted.png,suitcase_blue_spotted.png,envelope_red_striped.png,envelope_red_spotted.png,suitcase_red_striped.png,suitcase_red_spotted.png
3,59,25,25_CP_non.mp3,1,CP,1,non-repeated,The red striped envelope,blue spotted suitcase,0,suitcase_blue_spotted,suitcase,blue,spotted,envelope,red,striped,,,suitcase_blue_spotted,suitcase_red_striped,envelope_red_striped,suitcase_blue_striped,suitcase_red_spotted,envelope_blue_spotted,envelope_blue_striped,envelope_red_spotted,4,7,5,2,8,3,1,6,Y,4,5,4,envelope_blue_striped.png,suitcase_blue_striped.png,envelope_blue_spotted.png,suitcase_blue_spotted.png,envelope_red_striped.png,envelope_red_spotted.png,suitcase_red_striped.png,suitcase_red_spotted.png
4,59,25,25_CP_rep.mp3,3,CP,1,repeated,The red spotted envelope,blue spotted suitcase,1,suitcase_blue_spotted,suitcase,blue,spotted,envelope,red,striped,,,suitcase_blue_spotted,suitcase_red_striped,envelope_red_striped,suitcase_blue_striped,suitcase_red_spotted,envelope_blue_spotted,envelope_blue_striped,envelope_red_spotted,4,7,5,2,8,3,1,6,Y,4,6,4,envelope_blue_striped.png,suitcase_blue_striped.png,envelope_blue_spotted.png,suitcase_blue_spotted.png,envelope_red_striped.png,envelope_red_spotted.png,suitcase_red_striped.png,suitcase_red_spotted.png
1,60,f21,f21.mp3,9,9,9,repeated,The fork pointing right,small fork,9,,fork,,,fork,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,N,6,2,6,catBlueLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
2,60,f21,f21.mp3,9,9,9,repeated,The fork pointing right,small fork,9,,fork,,,fork,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,N,6,2,6,catBlueLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
3,60,f21,f21.mp3,9,9,9,repeated,The fork pointing right,small fork,9,,fork,,,fork,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,N,6,2,6,catBlueLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
4,60,f21,f21.mp3,9,9,9,repeated,The fork pointing right,small fork,9,,fork,,,fork,,,directionoun category,size,forkGreySmallLeft,,,,,,,,,,,,,,,,N,6,2,6,catBlueLeft.png,forkGreyLarge.png,catBlueLeft.png,catBlueRight.png,catBlueRight.png,forkGreySmallLeft.png,catBlueLeft.png,forkGreyLargeLeft.png
1,61,26,26_CP_rep.mp3,3,CP,1,repeated,The blue chequered dress,red chequered pram,1,pram_red_chequered,pram,red,chequered,dress,blue,spotted,,,pram_red_chequered,pram_blue_spotted,dress_blue_spotted,pram_red_spotted,pram_blue_chequered,dress_red_chequered,dress_red_spotted,dress_blue_chequered,3,6,5,7,8,1,2,4,Y,3,4,3,dress_red_chequered.png,dress_red_spotted.png,pram_red_chequered.png,dress_blue_chequered.png,dress_blue_spotted.png,pram_blue_spotted.png,pram_red_spotted.png,pram_blue_chequered.png
2,61,26,26_PC_non.mp3,2,PC,0,non-repeated,The spotted blue dress,red chequered pram,0,pram_red_chequered,pram,red,chequered,dress,blue,spotted,,,pram_red_chequered,pram_blue_spotted,dress_blue_spotted,pram_red_spotted,pram_blue_chequered,dress_red_chequered,dress_red_spotted,dress_blue_chequered,3,6,5,7,8,1,2,4,Y,3,5,3,dress_red_chequered.png,dress_red_spotted.png,pram_red_chequered.png,dress_blue_chequered.png,dress_blue_spotted.png,pram_blue_spotted.png,pram_red_spotted.png,pram_blue_chequered.png
3,61,26,26_PC_rep.mp3,4,PC,0,repeated,The chequered blue dress,red chequered pram,1,pram_red_chequered,pram,red,chequered,dress,blue,spotted,,,pram_red_chequered,pram_blue_spotted,dress_blue_spotted,pram_red_spotted,pram_blue_chequered,dress_red_chequered,dress_red_spotted,dress_blue_chequered,3,6,5,7,8,1,2,4,Y,3,4,3,dress_red_chequered.png,dress_red_spotted.png,pram_red_chequered.png,dress_blue_chequered.png,dress_blue_spotted.png,pram_blue_spotted.png,pram_red_spotted.png,pram_blue_chequered.png
4,61,26,26_CP_non.mp3,1,CP,1,non-repeated,The blue spotted dress,red chequered pram,0,pram_red_chequered,pram,red,chequered,dress,blue,spotted,,,pram_red_chequered,pram_blue_spotted,dress_blue_spotted,pram_red_spotted,pram_blue_chequered,dress_red_chequered,dress_red_spotted,dress_blue_chequered,3,6,5,7,8,1,2,4,Y,3,5,3,dress_red_chequered.png,dress_red_spotted.png,pram_red_chequered.png,dress_blue_chequered.png,dress_blue_spotted.png,pram_blue_spotted.png,pram_red_spotted.png,pram_blue_chequered.png
1,62,f40,f40.mp3,9,9,9,non-repeated,The snowman,donkey,9,,snowman,,,snowman,,,noun category,noun category,donkeyLargeRight,,,,,,,,,,,,,,,,N,1,4,1,donkeyLargeRight.png,batBlueSmall.png,batGreySmall.png,snowmanWhiteLargeRight.png,batBlueSmall.png,batGreySmall.png,batGreenSmall.png,batGreenSmall.png
2,62,f40,f40.mp3,9,9,9,non-repeated,The snowman,donkey,9,,snowman,,,snowman,,,noun category,noun category,donkeyLargeRight,,,,,,,,,,,,,,,,N,1,4,1,donkeyLargeRight.png,batBlueSmall.png,batGreySmall.png,snowmanWhiteLargeRight.png,batBlueSmall.png,batGreySmall.png,batGreenSmall.png,batGreenSmall.png
3,62,f40,f40.mp3,9,9,9,non-repeated,The snowman,donkey,9,,snowman,,,snowman,,,noun category,noun category,donkeyLargeRight,,,,,,,,,,,,,,,,N,1,4,1,donkeyLargeRight.png,batBlueSmall.png,batGreySmall.png,snowmanWhiteLargeRight.png,batBlueSmall.png,batGreySmall.png,batGreenSmall.png,batGreenSmall.png
4,62,f40,f40.mp3,9,9,9,non-repeated,The snowman,donkey,9,,snowman,,,snowman,,,noun category,noun category,donkeyLargeRight,,,,,,,,,,,,,,,,N,1,4,1,donkeyLargeRight.png,batBlueSmall.png,batGreySmall.png,snowmanWhiteLargeRight.png,batBlueSmall.png,batGreySmall.png,batGreenSmall.png,batGreenSmall.png
1,63,f23,f23.mp3,9,9,9,repeated,The large frog,frog facing left,9,,frog,,,frog,,,size,direction,frogSmallLeft,,,,,,,,,,,,,,,,N,5,8,5,screwBlueLargeLeft.png,screwBlueSmallRight.png,frogSmallRight.png,screwBlueSmallRight.png,frogSmallLeft.png,screwBlueSmallLeft.png,screwBlueSmallLeft.png,frogLargeRight.png
2,63,f23,f23.mp3,9,9,9,repeated,The large frog,frog facing left,9,,frog,,,frog,,,size,direction,frogSmallLeft,,,,,,,,,,,,,,,,N,5,8,5,screwBlueLargeLeft.png,screwBlueSmallRight.png,frogSmallRight.png,screwBlueSmallRight.png,frogSmallLeft.png,screwBlueSmallLeft.png,screwBlueSmallLeft.png,frogLargeRight.png
3,63,f23,f23.mp3,9,9,9,repeated,The large frog,frog facing left,9,,frog,,,frog,,,size,direction,frogSmallLeft,,,,,,,,,,,,,,,,N,5,8,5,screwBlueLargeLeft.png,screwBlueSmallRight.png,frogSmallRight.png,screwBlueSmallRight.png,frogSmallLeft.png,screwBlueSmallLeft.png,screwBlueSmallLeft.png,frogLargeRight.png
4,63,f23,f23.mp3,9,9,9,repeated,The large frog,frog facing left,9,,frog,,,frog,,,size,direction,frogSmallLeft,,,,,,,,,,,,,,,,N,5,8,5,screwBlueLargeLeft.png,screwBlueSmallRight.png,frogSmallRight.png,screwBlueSmallRight.png,frogSmallLeft.png,screwBlueSmallLeft.png,screwBlueSmallLeft.png,frogLargeRight.png
1,64,27,27_CP_non.mp3,1,CP,1,non-repeated,The green striped plane,red spotted box,0,box_red_spotted,box,red,spotted,plane,green,striped,,,box_red_spotted,box_green_striped,plane_green_striped,box_red_striped,box_green_spotted,plane_red_spotted,plane_red_striped,plane_green_spotted,8,3,1,2,4,6,5,7,Y,8,1,8,plane_green_striped.png,box_red_striped.png,box_green_striped.png,box_green_spotted.png,plane_red_striped.png,plane_red_spotted.png,plane_green_spotted.png,box_red_spotted.png
2,64,27,27_CP_rep.mp3,3,CP,1,repeated,The green spotted plane,red spotted box,1,box_red_spotted,box,red,spotted,plane,green,striped,,,box_red_spotted,box_green_striped,plane_green_striped,box_red_striped,box_green_spotted,plane_red_spotted,plane_red_striped,plane_green_spotted,8,3,1,2,4,6,5,7,Y,8,7,8,plane_green_striped.png,box_red_striped.png,box_green_striped.png,box_green_spotted.png,plane_red_striped.png,plane_red_spotted.png,plane_green_spotted.png,box_red_spotted.png
3,64,27,27_PC_non.mp3,2,PC,0,non-repeated,The striped green plane,red spotted box,0,box_red_spotted,box,red,spotted,plane,green,striped,,,box_red_spotted,box_green_striped,plane_green_striped,box_red_striped,box_green_spotted,plane_red_spotted,plane_red_striped,plane_green_spotted,8,3,1,2,4,6,5,7,Y,8,1,8,plane_green_striped.png,box_red_striped.png,box_green_striped.png,box_green_spotted.png,plane_red_striped.png,plane_red_spotted.png,plane_green_spotted.png,box_red_spotted.png
