list,order,item,audio,condition,prime,prime_1,noun_repetition,prime_description,target_description,display_1,boxed_object,target_noun,target_colour,target_pattern,prime_noun,prime_colour,prime_pattern,filler_prime_category,filler_target_category,target_object,repeated_prime,non_repeated_prime,distractor1_sameNoun_sameColor_differentPatternFromTarget,distractor2_sameNoun_differentColor_samePatternAsTarget,distractor3_differentNoun_sameColor_patternAsTarget,distractor4_differentNoun_sameColor_differentPatternFromTarget,distractor5_differentNoun_differentColor_samePatternAsTarget,targetPosition,repeatedPrime,nonRepeatedPrime,distractor1,distractor2,distractor3,distractor4,distractor5,expTrials,box_position,targetImg,boxPos,pos1,pos2,pos3,pos4,pos5,pos6,pos7,pos8
3,20,9,09_CP_rep.mp3,3,CP,1,repeated,The red stripy knife,blue chequered knife,1,knife_blue_chequered,knife,blue,chequered,knife,red,striped,,,knife_blue_chequered,knife_red_striped,car_red_striped,knife_blue_striped,knife_red_chequered,car_blue_chequered,car_blue_striped,car_red_chequered,4,7,1,2,8,6,3,5,Y,4,7,4,car_red_striped.png,knife_blue_striped.png,car_blue_striped.png,knife_blue_chequered.png,car_red_chequered.png,car_blue_chequered.png,knife_red_striped.png,knife_red_chequered.png
4,20,9,09_PC_non.mp3,2,PC,0,non-repeated,The stripy red car,blue chequered knife,0,knife_blue_chequered,knife,blue,chequered,car,red,striped,,,knife_blue_chequered,knife_red_striped,car_red_striped,knife_blue_striped,knife_red_chequered,car_blue_chequered,car_blue_striped,car_red_chequered,4,7,1,2,8,6,3,5,Y,4,1,4,car_red_striped.png,knife_blue_striped.png,car_blue_striped.png,knife_blue_chequered.png,car_red_chequered.png,car_blue_chequered.png,knife_red_striped.png,knife_red_chequered.png
1,21,f05,f05.mp3,9,9,9,repeated,The bat upside down,small bat,9,,bat,,,bat,,,direction,size,batGreySmall,,,,,,,,,,,,,,,,N,6,5,6,handleRedLarge.png,handleRedSmall.png,batGreyLarge.png,handleBlueSmall.png,batGreyLargeUpsideDown.png,batGreySmall.png,handleRedLarge.png,handleBlueSmall.png
2,21,f05,f05.mp3,9,9,9,repeated,The bat upside down,small bat,9,,bat,,,bat,,,direction,size,batGreySmall,,,,,,,,,,,,,,,,N,6,5,6,handleRedLarge.png,handleRedSmall.png,batGreyLarge.png,handleBlueSmall.png,batGreyLargeUpsideDown.png,batGreySmall.png,handleRedLarge.png,handleBlueSmall.png
3,21,f05,f05.mp3,9,9,9,repeated,The bat upside down,small bat,9,,bat,,,bat,,,direction,size,batGreySmall,,,,,,,,,,,,,,,,N,6,5,6,handleRedLarge.png,handleRedSmall.png,batGreyLarge.png,handleBlueSmall.png,batGreyLargeUpsideDown.png,batGreySmall.png,handleRedLarge.png,handleBlueSmall.png
4,21,f05,f05.mp3,9,9,9,repeated,The bat upside down,small bat,9,,bat,,,bat,,,direction,size,batGreySmall,,,,,,,,,,,,,,,,N,6,5,6,handleRedLarge.png,handleRedSmall.png,batGreyLarge.png,handleBlueSmall.png,batGreyLargeUpsideDown.png,batGreySmall.png,handleRedLarge.png,handleBlueSmall.png
1,22,f03,f03.mp3,9,9,9,repeated,The small artichoke,artichoke upside down,9,,artichoke,,,artichoke,,,size,direction,artichokeLargeUpsideDown,,,,,,,,,,,,,,,,N,4,7,4,asparagusGreenSmall.png,artichokeLarge.png,asparagusRight.png,artichokeLargeUpsideDown.png,asparagusGreenSmall.png,asparagusRight.png,artichokeSmall.png,asparagusGreenSmall.png
2,22,f03,f03.mp3,9,9,9,repeated,The small artichoke,artichoke upside down,9,,artichoke,,,artichoke,,,size,direction,artichokeLargeUpsideDown,,,,,,,,,,,,,,,,N,4,7,4,asparagusGreenSmall.png,artichokeLarge.png,asparagusRight.png,artichokeLargeUpsideDown.png,asparagusGreenSmall.png,asparagusRight.png,artichokeSmall.png,asparagusGreenSmall.png
3,22,f03,f03.mp3,9,9,9,repeated,The small artichoke,artichoke upside down,9,,artichoke,,,artichoke,,,size,direction,artichokeLargeUpsideDown,,,,,,,,,,,,,,,,N,4,7,4,asparagusGreenSmall.png,artichokeLarge.png,asparagusRight.png,artichokeLargeUpsideDown.png,asparagusGreenSmall.png,asparagusRight.png,artichokeSmall.png,asparagusGreenSmall.png
4,22,f03,f03.mp3,9,9,9,repeated,The small artichoke,artichoke upside down,9,,artichoke,,,artichoke,,,size,direction,artichokeLargeUpsideDown,,,,,,,,,,,,,,,,N,4,7,4,asparagusGreenSmall.png,artichokeLarge.png,asparagusRight.png,artichokeLargeUpsideDown.png,asparagusGreenSmall.png,asparagusRight.png,artichokeSmall.png,asparagusGreenSmall.png
